Height (m)   T_Lagrange (°C)   T_Spline (°C)
      0.00        15.00        15.00
    526.32         9.73        11.57
   1052.63         8.29         8.16
   1578.95         5.19         4.77
   2105.26         1.21         1.29
   2631.58        -2.38        -2.21
   3157.89        -5.35        -5.40
   3684.21        -8.18        -8.23
   4210.53       -11.29       -11.29
   4736.84       -14.74       -14.76
   5263.16       -18.24       -18.19
   5789.47       -21.64       -21.56
   6315.79       -25.14       -25.30
   6842.11       -29.17       -29.31
   7368.42       -33.67       -33.16
   7894.74       -37.17       -36.79
   8421.05       -36.63       -37.50
   8947.37       -29.87       -37.50
   9473.68       -23.42       -37.50
  10000.00       -50.00       -37.50
