Height (m)   T_Lagrange_Chebyshev (°C)
     15.41        14.63
    138.15        12.37
    380.60        10.25
    736.80         9.26
   1197.97         7.61
   1752.76         3.89
   2387.51        -0.80
   3086.58        -4.97
   3832.77        -9.02
   4607.70       -13.88
   5392.30       -19.08
   6167.23       -24.11
   6913.42       -29.76
   7612.49       -35.58
   8247.24       -37.47
   8802.03       -32.27
   9263.20       -24.74
   9619.40       -25.01
   9861.85       -36.17
   9984.59       -48.10
