Height (m)   T_Lagrange_Even (°C)   T_Lagrange_Chebyshev (°C)
      0.00        15.00       -48.10
    526.32         9.73       -36.17
   1052.63         8.29       -25.01
   1578.95         5.19       -24.74
   2105.26         1.21       -32.27
   2631.58        -2.38       -37.47
   3157.89        -5.35       -35.58
   3684.21        -8.18       -29.76
   4210.53       -11.29       -24.11
   4736.84       -14.74       -19.08
   5263.16       -18.24       -13.88
   5789.47       -21.64        -9.02
   6315.79       -25.14        -4.97
   6842.11       -29.17        -0.80
   7368.42       -33.67         3.89
   7894.74       -37.17         7.61
   8421.05       -36.63         9.26
   8947.37       -29.87        10.25
   9473.68       -23.42        12.37
  10000.00       -50.00        14.63
