Height (m)   T_Lagrange_Even (°C)
      0.00        15.00
    526.32         9.73
   1052.63         8.29
   1578.95         5.19
   2105.26         1.21
   2631.58        -2.38
   3157.89        -5.35
   3684.21        -8.18
   4210.53       -11.29
   4736.84       -14.74
   5263.16       -18.24
   5789.47       -21.64
   6315.79       -25.14
   6842.11       -29.17
   7368.42       -33.67
   7894.74       -37.17
   8421.05       -36.63
   8947.37       -29.87
   9473.68       -23.42
  10000.00       -50.00
